#NAME	LK-P2	SB-P1	PM-P3	AW-SD2	UNZ-SD2	DH-SD2	BF-SD3	EP-SD1	AL-SD3	RK-SD1	BS-SD3	DSR-SD3	EK-P3	RvO-P2	KB-P1	WB-P1	NK-P3	IV-P2	GM11	EW-SD1	DG-SD1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32	3	1	4	3	9	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rs-E47 termite group;GWE2-42-42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Salinivirgaceae;uncultured	32	0	0	0	0	0	113	0	95	0	0	0	0	3	0	1	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;NA	185	102	119	35	135	144	54	89	36	28	57	39	31	21	38	64	0	53	0	109	18
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28 wastewater-sludge group	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22;NA;NA	8	8	2	2	3	1	208	6	115	10	2	4	1	2	2	6	0	2	0	7	7
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Dinghuibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
